STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
SEIL,Seiling,OK,36.19,-99.04,2015,7,1,15,25,99,60,28, ,99,SW,17,23,1010.22,99,73, 
SHAW,Shawnee,OK,35.36,-96.95,2015,7,1,15,25,93,70,48, ,99,SSW,17,22,1012.01,94,73, 
SKIA,Skiatook,OK,36.42,-96.04,2015,7,1,15,25,90,73,57, ,98,SSW,13,21,1010.56,92,77, 
SLAP,Slapout,OK,36.60,-100.26,2015,7,1,15,25, , ,26, , ,WNW,4,9,1011.41, , , 
SPEN,Spencer,OK,35.54,-97.34,2015,7,1,15,25,92,69,47, ,98,SSW,13,21,1011.16,93,75, 
STIG,Stigler,OK,35.27,-95.18,2015,7,1,15,25,92,70,50, ,98,SW,13,18,1011.78,92,75, 
STIL,Stillwater,OK,36.12,-97.10,2015,7,1,15,25,95,70,44, ,102,SW,13,24,1009.56,95,76, 
STUA,Stuart,OK,34.88,-96.07,2015,7,1,15,25,89,72,57, ,96,SSW,17,23,1012.80,89,73, 
SULP,Sulphur,OK,34.57,-96.95,2015,7,1,15,25,90,70,51, ,96,SSW,12,18,1012.91,91,71, 
TAHL,Tahlequah,OK,35.97,-94.99,2015,7,1,15,25,89,74,62, ,98,S,12,19,1012.28,89,74, 
TALA,Talala,OK,36.57,-95.75,2015,7,1,15,25, , , , , , , , , , , , 
TALI,Talihina,OK,34.71,-95.01,2015,7,1,15,25,91,68,47, ,95,SSW,12,18,1013.00,92,70, 
TIPT,Tipton,OK,34.44,-99.14,2015,7,1,15,25,95,65,38, ,98,SSW,20,24,1011.85,96,72, 
TISH,Tishomingo,OK,34.33,-96.68,2015,7,1,15,25,90,71,53, ,96,SSW,19,25,1012.78,90,69, 
TULN,Tulsa,OK,36.20,-95.94,2015,7,1,15,25,94,70,46, ,100,SW,16,24,1010.31,94,79, 
VINI,Vinita,OK,36.78,-95.22,2015,7,1,15,25,87,76,69, ,98,SSW,13,18,1010.64,91,75, 
WAL2,Walters,OK,34.40,-98.35,2015,7,1,15,25,94,68,44, ,98,SSW,20,26,1012.07,94,70, 
WASH,Washington,OK,34.98,-97.52,2015,7,1,15,25,91,69,49, ,96,SW,16,22,1012.29,91,70, 
WATO,Watonga,OK,35.84,-98.53,2015,7,1,15,25,96,64,36, ,98,SSW,21,31,1010.77,96,71, 
WAUR,Waurika,OK,34.17,-97.99,2015,7,1,15,25,93,70,47, ,99,SSW,15,25,1012.29,93,71, 
WEAT,Weatherford,OK,35.51,-98.78,2015,7,1,15,25,95,63,34, ,97,SSW,23,30,1011.24,96,68, 
WEBR,Webbers Falls,OK,35.49,-95.12,2015,7,1,15,25,94,72,50, ,103,SSW,12,17,1011.44,94,74, 
WEST,Westville,OK,36.01,-94.64,2015,7,1,15,25,87,74,65, ,95,SSW,9,15,1012.90,88,74, 
WILB,Wilburton,OK,34.90,-95.35,2015,7,1,15,25,89,71,54, ,95,SSW,8,15,1012.49,90,73, 
WIST,Wister,OK,34.98,-94.69,2015,7,1,15,25,91,68,48, ,95,SW,10,14,1012.21,94,70, 
WOOD,Woodward,OK,36.42,-99.42,2015,7,1,15,25,98,60,29, ,98,SW,17,25,1010.73,99,74, 
WYNO,Wynona,OK,36.52,-96.34,2015,7,1,15,25,94,72,49, ,102,SSW,15,22,1009.98,94,77, 
